Set_ID,Time,end_gen,ngen_expt,Ne,n_ind_exp,n_cages,sequence_length,r_msp,r,r_expt,mu_msp,mu,mu_neutral,shape,scale,mut_ratio,proj,LDdelta,pa,Vs,randomise,pdelta_method,bdelta_method,vA_true,vA_est,pdelta_est,pdelta_var_est,bdelta_intercept_est,bdelta_slope_est,seg_sites,bdelta_var_est,va_lost
vera.bio.ed.ac.uk_2024-06-17_16:23:15.048724_fixed_1.4_1000_10_3,23:41.0,2,3,1330000,1000,10,1.00E+06,1.40E-09,1.40E-07,1.40E-06,3.05E-11,3.05E-07,1.02E-11,0.3,0.025,1,BLoM,FALSE,1,LoNL,TRUE,optim,fixed,0.05382463,0.052363206,-0.125087105,0.074086372,0,0,2354,0_0_0,0.00010255
vera.bio.ed.ac.uk_2024-06-17_16:23:15.048724_fixed_1.4_1000_10_3,48:27.4,2,3,1330000,1000,10,1.00E+06,1.40E-09,1.40E-07,1.40E-06,3.12E-11,3.12E-07,1.04E-11,0.3,0.025,1,BLoM,FALSE,1,LoNL,TRUE,optim,fixed,0.025933305,0.017531555,-0.356185417,0.125370564,0,0,2320,0_0_0,7.10E-05
vera.bio.ed.ac.uk_2024-06-17_16:23:15.048724_fixed_1.4_1000_10_3,11:41.0,2,3,1330000,1000,10,1.00E+06,1.40E-09,1.40E-07,1.40E-06,3.18E-11,3.18E-07,1.06E-11,0.3,0.025,1,BLoM,FALSE,1,LoNL,TRUE,optim,fixed,0.040827047,0.039579929,-0.202946711,0.110402998,0,0,2444,0_0_0,9.07E-05
vera.bio.ed.ac.uk_2024-06-17_16:23:15.048724_fixed_1.4_1000_10_3,32:28.5,2,3,1330000,1000,10,1.00E+06,1.40E-09,1.40E-07,1.40E-06,3.25E-11,3.25E-07,1.08E-11,0.3,0.025,1,BLoM,FALSE,1,LoNL,TRUE,optim,fixed,0.029814741,0.018236384,-0.36249015,0.219139676,0,0,2472,0_0_0,0.000139174
vera.bio.ed.ac.uk_2024-06-17_16:23:15.048724_fixed_1.4_1000_10_3,49:33.2,2,3,1330000,1000,10,1.00E+06,1.40E-09,1.40E-07,1.40E-06,3.31E-11,3.31E-07,1.10E-11,0.3,0.025,1,BLoM,FALSE,1,LoNL,TRUE,optim,fixed,0.046176624,0.043874801,0.086845631,0.114207903,0,0,2533,0_0_0,0.000109339
vera.bio.ed.ac.uk_2024-06-17_16:23:15.048724_fixed_1.4_1000_10_3,06:18.5,2,3,1330000,1000,10,1.00E+06,1.40E-09,1.40E-07,1.40E-06,3.37E-11,3.37E-07,1.12E-11,0.3,0.025,1,BLoM,FALSE,1,LoNL,TRUE,optim,fixed,0.045285,0.050496036,-0.004404474,0.079530307,0,0,2532,0_0_0,8.16E-05
vera.bio.ed.ac.uk_2024-06-17_16:23:15.048724_fixed_1.4_1000_10_3,22:44.2,2,3,1330000,1000,10,1.00E+06,1.40E-09,1.40E-07,1.40E-06,3.44E-11,3.44E-07,1.15E-11,0.3,0.025,1,BLoM,FALSE,1,LoNL,TRUE,optim,fixed,0.04132643,0.054300882,-0.017687385,0.065931766,0,0,2588,0_0_0,6.12E-05
vera.bio.ed.ac.uk_2024-06-17_16:23:15.048724_fixed_1.4_1000_10_3,39:47.3,2,3,1330000,1000,10,1.00E+06,1.40E-09,1.40E-07,1.40E-06,3.50E-11,3.50E-07,1.17E-11,0.3,0.025,1,BLoM,FALSE,1,LoNL,TRUE,optim,fixed,0.051533947,0.053228846,-0.016083318,0.073454277,0,0,2720,0_0_0,7.30E-05
vera.bio.ed.ac.uk_2024-06-17_16:23:15.048724_fixed_1.4_1000_10_3,57:51.0,2,3,1330000,1000,10,1.00E+06,1.40E-09,1.40E-07,1.40E-06,3.56E-11,3.56E-07,1.19E-11,0.3,0.025,1,BLoM,FALSE,1,LoNL,TRUE,optim,fixed,0.050882745,0.054508959,0.159897878,0.148089046,0,0,2688,0_0_0,8.05E-05
vera.bio.ed.ac.uk_2024-06-17_16:23:15.048724_fixed_1.4_1000_10_3,19:27.0,2,3,1330000,1000,10,1.00E+06,1.40E-09,1.40E-07,1.40E-06,3.63E-11,3.63E-07,1.21E-11,0.3,0.025,1,BLoM,FALSE,1,LoNL,TRUE,optim,fixed,0.042053298,0.054539149,-0.115147384,0.057154125,0,0,2712,0_0_0,9.69E-05
vera.bio.ed.ac.uk_2024-06-17_16:23:15.048724_fixed_1.4_1000_10_3,45:30.0,2,3,1330000,1000,10,1.00E+06,1.40E-09,1.40E-07,1.40E-06,3.69E-11,3.69E-07,1.23E-11,0.3,0.025,1,BLoM,FALSE,1,LoNL,TRUE,optim,fixed,0.055749854,0.067130841,-0.226272423,0.046883734,0,0,2847,0_0_0,0.000110755
vera.bio.ed.ac.uk_2024-06-17_16:23:15.048724_fixed_1.4_1000_10_3,01:30.4,2,3,1330000,1000,10,1.00E+06,1.40E-09,1.40E-07,1.40E-06,3.75E-11,3.75E-07,1.25E-11,0.3,0.025,1,BLoM,FALSE,1,LoNL,TRUE,optim,fixed,0.045796814,0.057004081,0.033381366,0.087579312,0,0,2760,0_0_0,9.15E-05
vera.bio.ed.ac.uk_2024-06-17_16:23:15.048724_fixed_1.4_1000_10_3,20:31.0,2,3,1330000,1000,10,1.00E+06,1.40E-09,1.40E-07,1.40E-06,3.82E-11,3.82E-07,1.27E-11,0.3,0.025,1,BLoM,FALSE,1,LoNL,TRUE,optim,fixed,0.038329299,0.042051606,0.129098525,0.188411573,0,0,2882,0_0_0,6.42E-05
vera.bio.ed.ac.uk_2024-06-17_16:23:15.048724_fixed_1.4_1000_10_3,40:01.5,2,3,1330000,1000,10,1.00E+06,1.40E-09,1.40E-07,1.40E-06,3.88E-11,3.88E-07,1.29E-11,0.3,0.025,1,BLoM,FALSE,1,LoNL,TRUE,optim,fixed,0.045309026,0.043340481,0.219532969,0.239388476,0,0,2935,0_0_0,7.51E-05
vera.bio.ed.ac.uk_2024-06-17_16:23:15.048724_fixed_1.4_1000_10_3,00:38.5,2,3,1330000,1000,10,1.00E+06,1.40E-09,1.40E-07,1.40E-06,3.95E-11,3.95E-07,1.32E-11,0.3,0.025,1,BLoM,FALSE,1,LoNL,TRUE,optim,fixed,0.048347011,0.04739334,0.642622489,0.168631981,0,0,2956,0_0_0,0.000120635
vera.bio.ed.ac.uk_2024-06-17_16:23:15.048724_fixed_1.4_1000_10_3,22:41.3,2,3,1330000,1000,10,1.00E+06,1.40E-09,1.40E-07,1.40E-06,4.01E-11,4.01E-07,1.34E-11,0.3,0.025,1,BLoM,FALSE,1,LoNL,TRUE,optim,fixed,0.045538613,0.038726708,1.130849783,0.71086226,0,0,3041,0_0_0,0.000108457
vera.bio.ed.ac.uk_2024-06-17_16:23:15.048724_fixed_1.4_1000_10_3,45:20.1,2,3,1330000,1000,10,1.00E+06,1.40E-09,1.40E-07,1.40E-06,4.07E-11,4.07E-07,1.36E-11,0.3,0.025,1,BLoM,FALSE,1,LoNL,TRUE,optim,fixed,0.057090998,0.065287876,0.536692419,0.141614775,0,0,3031,0_0_0,0.00011083
vera.bio.ed.ac.uk_2024-06-17_16:23:15.048724_fixed_1.4_1000_10_3,08:07.8,2,3,1330000,1000,10,1.00E+06,1.40E-09,1.40E-07,1.40E-06,4.14E-11,4.14E-07,1.38E-11,0.3,0.025,1,BLoM,FALSE,1,LoNL,TRUE,optim,fixed,0.038845499,0.031629,0.975774951,0.405100277,0,0,3092,0_0_0,7.32E-05
vera.bio.ed.ac.uk_2024-06-17_16:23:15.048724_fixed_1.4_1000_10_3,26:56.2,2,3,1330000,1000,10,1.00E+06,1.40E-09,1.40E-07,1.40E-06,4.20E-11,4.20E-07,1.40E-11,0.3,0.025,1,BLoM,FALSE,1,LoNL,TRUE,optim,fixed,0.048709191,0.053668854,0.052589579,0.085517377,0,0,3091,0_0_0,0.00011616
