"","Set_ID","Time","end_gen","ngen_expt","Ne","n_ind_exp","n_cages","sequence_length","r_msp","r","r_expt","mu_msp","mu","mu_neutral","shape","scale","mut_ratio","proj","LDdelta","pa","Vs","randomise","pdelta_method","bdelta_method","vA_true","vA_est","pdelta_est","pdelta_var_est","bdelta_intercept_est","bdelta_slope_est","seg_sites","bdelta_var_est","vA_left","seg_sites_neu","seg_sites_ben","seg_sites_del","s_pmq","map_length_history","map_length_expt"
"68","bigbird_2024-07-10_07:54:22.608218_1.2e-06_1.4_1.4_1000_10","2024-07-10 09:00:07.976108","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-09",1.4e-06,1.4e-06,"2.25563909774436e-10",1.2e-06,"6.66666666666667e-09","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","no_analysis","estimate",NA,NA,NA,NA,NA,NA,21674,NA,NA,897,0,20777,0.00491949089028394,"1.4","1.4"
"70","bigbird_2024-07-10_08:07:37.603806_1.2e-06_0.014_0.014_1000_10","2024-07-10 08:34:35.681969","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-11",1.4e-08,1.4e-08,"2.25563909774436e-10",1.2e-06,"6.66666666666667e-09","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","no_analysis","estimate",NA,NA,NA,NA,NA,NA,15961,NA,NA,578,0,15383,0.00450709822599101,"0.014","0.014"
"72","bigbird_2024-07-10_08:14:22.597942_1.2e-06_0.014_0.14_1000_10","2024-07-10 08:41:08.391617","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-11",1.4e-08,1.4e-07,"2.25563909774436e-10",1.2e-06,"6.66666666666667e-09","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","no_analysis","estimate",NA,NA,NA,NA,NA,NA,15588,NA,NA,618,0,14970,0.00424715973145812,"0.014","0.14"
"74","bigbird_2024-07-10_08:26:22.61234_1.2e-06_0.014_1.4_1000_10","2024-07-10 08:53:20.709055","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-11",1.4e-08,1.4e-06,"2.25563909774436e-10",1.2e-06,"6.66666666666667e-09","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","no_analysis","estimate",NA,NA,NA,NA,NA,NA,15413,NA,NA,577,0,14836,0.00434109801876281,"0.014","1.4"
"76","bigbird_2024-07-10_08:39:52.594781_1.2e-06_0.14_0.14_1000_10","2024-07-10 09:12:12.939169","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-10",1.4e-07,1.4e-07,"2.25563909774436e-10",1.2e-06,"6.66666666666667e-09","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","no_analysis","estimate",NA,NA,NA,NA,NA,NA,18042,NA,NA,768,0,17274,0.0044930289331338,"0.14","0.14"
"78","bigbird_2024-07-10_08:52:37.617518_1.2e-06_1.4_0.14_1000_10","2024-07-10 09:58:34.355781","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-09",1.4e-06,1.4e-07,"2.25563909774436e-10",1.2e-06,"6.66666666666667e-09","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","no_analysis","estimate",NA,NA,NA,NA,NA,NA,22406,NA,NA,905,0,21501,0.0048537112060367,"1.4","0.14"
"80","bigbird_2024-07-10_08:58:22.627694_1.2e-06_14_0.14_1000_10","2024-07-10 12:25:47.983142","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-08",1.4e-05,1.4e-07,"2.25563909774436e-10",1.2e-06,"6.66666666666667e-09","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","no_analysis","estimate",NA,NA,NA,NA,NA,NA,26342,NA,NA,1051,0,25291,0.00500298791119667,"14","0.14"
"82","bigfoot_2024-07-10_00:45:52.622807_1.2e-06_0.14_0.14_1000_10","2024-07-10 01:19:00.186268","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-10",1.4e-07,1.4e-07,"2.25563909774436e-10",1.2e-06,"6.66666666666667e-09","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","no_analysis","estimate",NA,NA,NA,NA,NA,NA,17286,NA,NA,646,0,16640,0.00471289565839667,"0.14","0.14"
"84","bigfoot_2024-07-10_00:45:52.623979_1.2e-06_1.4_1.4_1000_10","2024-07-10 01:51:11.360973","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-09",1.4e-06,1.4e-06,"2.25563909774436e-10",1.2e-06,"6.66666666666667e-09","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","no_analysis","estimate",NA,NA,NA,NA,NA,NA,22306,NA,NA,851,0,21455,0.00488170204753525,"1.4","1.4"
"86","bigfoot_2024-07-10_01:18:37.617054_1.2e-06_1.4_0.14_1000_10","2024-07-10 02:26:01.996252","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-09",1.4e-06,1.4e-07,"2.25563909774436e-10",1.2e-06,"6.66666666666667e-09","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","no_analysis","estimate",NA,NA,NA,NA,NA,NA,22641,NA,NA,908,0,21733,0.00465480726102836,"1.4","0.14"
