Set_ID,sim,Time,end_gen,ngen1,ngen2,Ne,n_ind,n_ind_exp,n_cages,sequence_length,r_msp,r,r_expt,mu_msp,mu,mu_expt,shape,scale,mut_ratio,flip_sel_coef,Ve_w,Ve_w_expt,vA_true,vA_true_new,va_true,va_true_new,va_left,va_left_new,time_stamp_va_left
Set_11_biggar_2024-12-31_00-34-41.636194_9.60363636363636e-08_0.5_2_1000_10_4_0_2e-04,1,2024-12-31 00:53:49.620994,25000,1,4,2500,2500,1000,10,1e+06,5.32e-07,5e-07,2e-06,9.60363636363636e-08,9.60363636363636e-07,0,0.3,0.033,2e-04,0,1,1,0.0194082537980067,0.0185835741634184,0.0194010821169053,0.0186106581048567,0.0168507284169769,0.0162455256893902,ac3-n6_2025-04-09_04-43-46.534253
Set_11_biggar_2024-12-31_00-53-41.931958_1.112e-07_0.5_2_1000_10_4_0_2e-04,1,2024-12-31 01:11:41.340819,25000,1,4,2500,2500,1000,10,1e+06,5.32e-07,5e-07,2e-06,1.112e-07,1.112e-06,0,0.3,0.033,2e-04,0,1,1,0.0225893893453504,0.0216146191386934,0.0226549452559233,0.0217005605326508,0.0198737643140788,0.019112640124749,ac3-n6_2025-04-09_04-46-52.548447
Set_11_biggar_2024-12-31_00-54-26.566005_1.16254545454545e-07_0.5_2_1000_10_4_0_2e-04,1,2024-12-31 01:12:28.499118,25000,1,4,2500,2500,1000,10,1e+06,5.32e-07,5e-07,2e-06,1.16254545454545e-07,1.16254545454545e-06,0,0.3,0.033,2e-04,0,1,1,0.0213685071676617,0.0203692043284835,0.0233858411611077,0.0223007811866759,0.020566648583092,0.0197264268688027,ac3-n5_2025-04-09_04-59-22.454997
Set_11_biggar_2024-12-31_01-09-56.769099_1.26363636363636e-07_0.5_2_1000_10_4_0_2e-04,1,2024-12-31 01:37:20.409149,25000,1,4,2500,2500,1000,10,1e+06,5.32e-07,5e-07,2e-06,1.26363636363636e-07,1.26363636363636e-06,0,0.3,0.033,2e-04,0,1,1,0.0249351767665684,0.0238806028631777,0.0253532300146854,0.0243112685346144,0.022197911750463,0.0213782273459063,ac3-n6_2025-04-09_06-18-46.674483
Set_11_biggar_2024-12-31_01-11-41.707768_1.31418181818182e-07_0.5_2_1000_10_4_0_2e-04,1,2024-12-31 01:36:39.201008,25000,1,4,2500,2500,1000,10,1e+06,5.32e-07,5e-07,2e-06,1.31418181818182e-07,1.31418181818182e-06,0,0.3,0.033,2e-04,0,1,1,0.0249243142706353,0.0238259993921517,0.0260541089058141,0.0250124253160189,0.0230850084348577,0.0222171378399134,ac3-n6_2025-04-09_06-21-12.905217
Set_11_biggar_2024-12-31_01-14-56.616589_1.41527272727273e-07_0.5_2_1000_10_4_0_2e-04,1,2024-12-31 01:40:31.378632,25000,1,4,2500,2500,1000,10,1e+06,5.32e-07,5e-07,2e-06,1.41527272727273e-07,1.41527272727273e-06,0,0.3,0.033,2e-04,0,1,1,0.0281916267871268,0.0269782761512065,0.0274458214477002,0.0262833959005351,0.0241693623174834,0.0232342766513914,ac3-n6_2025-04-09_06-30-27.928539
Set_11_biggar_2024-12-31_01-15-41.638693_1.51636363636364e-07_0.5_2_1000_10_4_0_2e-04,1,2024-12-31 01:44:24.042572,25000,1,4,2500,2500,1000,10,1e+06,5.32e-07,5e-07,2e-06,1.51636363636364e-07,1.51636363636364e-06,0,0.3,0.033,2e-04,0,1,1,0.0275396230180566,0.0262519063602749,0.0304307188830301,0.0290811963391354,0.0265594749379927,0.025492724165125,ac3-n6_2025-04-09_06-30-49.855715
Set_11_biggar_2024-12-31_01-17-11.646076_1.61745454545455e-07_0.5_2_1000_10_4_0_2e-04,1,2024-12-31 01:46:32.404834,25000,1,4,2500,2500,1000,10,1e+06,5.32e-07,5e-07,2e-06,1.61745454545455e-07,1.61745454545455e-06,0,0.3,0.033,2e-04,0,1,1,0.0269559044711715,0.0257579218096747,0.0296594176523093,0.0283641426929775,0.0256170606756609,0.0246300149048187,ac3-n6_2025-04-09_06-34-17.081042
Set_11_biggar_2024-12-31_01-38-41.622562_1.71854545454545e-07_0.5_2_1000_10_4_0_2e-04,1,2024-12-31 02:03:48.91677,25000,1,4,2500,2500,1000,10,1e+06,5.32e-07,5e-07,2e-06,1.71854545454545e-07,1.71854545454545e-06,0,0.3,0.033,2e-04,0,1,1,0.0331120298379538,0.0316725048311395,0.0347875281724411,0.0333916875046049,0.0310314509190088,0.0299012587825466,ac3-n6_2025-04-09_06-35-13.693824
Set_11_biggar_2024-12-31_01-42-11.644948_1.81963636363636e-07_0.5_2_1000_10_4_0_2e-04,1,2024-12-31 02:11:41.481542,25000,1,4,2500,2500,1000,10,1e+06,5.32e-07,5e-07,2e-06,1.81963636363636e-07,1.81963636363636e-06,0,0.3,0.033,2e-04,0,1,1,0.0386163533751013,0.03688071607189,0.0338903497871193,0.0324356202854681,0.0299178812191245,0.0287001682685666,ac3-n5_2025-04-09_06-35-40.566241
